CountyFP,Time_fornow_enddate,StartDate,EndDate,DurationDays,Hazard,CropDmg,avg_tmax,avg_tmin,avg_ppt,unique_id,duplicate
10003,7/31/1995,7/1/1995,7/31/1995,31,Heat,0,88.80524056,69.11177326,0.124353492,10003 1995-07-01,FALSE
10005,7/31/1995,7/1/1995,7/31/1995,31,Heat,0,89.26514231,70.25242099,0.10808755,10005 1995-07-01,FALSE
24015,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,96.61491445,72.73161912,0.211010707,24015 1995-07-14,FALSE
24035,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,95.70574481,75.14698274,0.031634763,24035 1995-07-14,FALSE
24011,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,97.0350353,74.90617638,0.109393752,24011 1995-07-14,FALSE
24019,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,95.42888122,77.98215844,0.076281801,24019 1995-07-14,FALSE
24029,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,95.62193944,74.97616085,0.027794134,24029 1995-07-14,FALSE
24041,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,95.22894785,76.67441593,0.016470604,24041 1995-07-14,FALSE
24045,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,95.81355952,76.61695597,0.036544998,24045 1995-07-14,FALSE
24047,7/16/1995,7/14/1995,7/16/1995,3,Heat,968014.19,94.48673174,76.00802347,0,24047 1995-07-14,FALSE
24015,7/31/1995,7/21/1995,7/31/1995,11,Heat,0,91.22487266,70.63616108,0.072507925,24015 1995-07-21,FALSE
24035,7/31/1995,7/21/1995,7/31/1995,11,Heat,0,92.18185177,73.51013859,0.098867771,24035 1995-07-21,FALSE
51001,7/16/1995,7/14/1995,7/16/1995,3,Heat,494305.12,94.16433834,77.09961317,0,51001 1995-07-14,FALSE
51131,7/16/1995,7/14/1995,7/16/1995,3,Heat,494305.12,92.68075094,76.79004522,2.97133E-06,51131 1995-07-14,FALSE
10001,8/31/1995,8/1/1995,8/31/1995,31,Drought/ Heat,0,86.86289986,66.41019417,0.068462374,10001 1995-08-01,FALSE
10003,8/31/1995,8/1/1995,8/31/1995,31,Drought/ Heat,0,87.579482,65.72813781,0.077981163,10003 1995-08-01,FALSE
10005,8/31/1995,8/1/1995,8/31/1995,31,Drought/ Heat,0,87.22001577,65.79791414,0.02407162,10005 1995-08-01,FALSE
51001,8/31/1995,8/1/1995,8/31/1995,31,Heat,0,86.65323222,69.84092208,0.046687582,51001 1995-08-01,FALSE
51131,8/31/1995,8/1/1995,8/31/1995,31,Heat,0,86.05780271,71.48659455,0.047786769,51131 1995-08-01,FALSE
51131,9/30/1995,9/1/1995,9/30/1995,30,Drought,4119209.32,78.72193999,64.38608794,0.154951146,51131 1995-09-01,FALSE
51001,9/30/1995,9/1/1995,9/30/1995,30,Drought,11533786.09,79.1873224,63.01339605,0.150415448,51001 1995-09-01,FALSE
24011,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,91.01027413,69.45489762,0.058397792,24011 1993-07-01,FALSE
24015,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,89.29353906,67.27114001,0.082127276,24015 1993-07-01,FALSE
24019,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,89.98510971,72.89284138,0.035850563,24019 1993-07-01,FALSE
24029,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,89.37820481,70.16308869,0.088170575,24029 1993-07-01,FALSE
24035,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,89.95413867,70.24195588,0.076093606,24035 1993-07-01,FALSE
24039,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,90.23693966,72.27679142,0.038167159,24039 1993-07-01,FALSE
24041,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,90.05571083,71.8850792,0.058294094,24041 1993-07-01,FALSE
24045,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,90.88754404,70.36728069,0.03247184,24045 1993-07-01,FALSE
24047,7/30/1993,7/1/1993,7/30/1993,30,Heat,38616.99,89.12159035,71.06148449,0.030893593,24047 1993-07-01,FALSE
51001,8/31/1993,8/1/1993,8/31/1993,31,Drought,653295,85.51191284,69.20131589,0.079752838,51001 1993-08-01,FALSE
51131,8/31/1993,8/1/1993,8/31/1993,31,Drought,653295,85.03326416,70.04715215,0.055825669,51131 1993-08-01,FALSE
10001,5/31/1991,5/1/1991,5/31/1991,31,Heat,0,79.81593346,58.01869991,0.067188856,10001 1991-05-01,FALSE
10003,5/31/1991,5/1/1991,5/31/1991,31,Heat,0,80.02606554,57.54749478,0.058047576,10003 1991-05-01,FALSE
10005,5/31/1991,5/1/1991,5/31/1991,31,Heat,0,79.82985937,57.83542526,0.053921059,10005 1991-05-01,FALSE
